,frn,provider_id,brand_name,location_id,technology,max_advertised_download_speed,max_advertised_upload_speed,low_latency,business_residential_code,state_usps,block_geoid,h3_res8_id,FIPS5
2342238,24170359,131081,Metronet Holdings,1002838367,50,10000,10000,1,B,OH,390630009011009.0,882a940999fffff,39063.0
2364600,29626009,130258,Frontier,1001520171,50,7000,7000,1,B,OH,390650001002006.0,882a942b65fffff,39065.0
2373618,13194675,180058,CNI Fiber,1288082130,50,1000,1000,1,B,OH,390690004001018.0,88274925c7fffff,39069.0
2664678,29626009,130258,Frontier,1002443547,50,7000,7000,1,B,OH,390719548003008.0,882a914cb3fffff,39071.0
2346335,32580888,480067,Omni Fiber,1003024094,50,10000,10000,1,B,OH,390779160003008.0,882ab349a3fffff,39077.0
2344719,29626009,130258,Frontier,1004325740,50,7000,7000,1,B,OH,390810123001047.0,882a86adabfffff,39081.0
2855355,25619222,380177,Xiber LLC,1006091287,50,2000,2000,1,B,OH,390852015002003.0,882ab3962dfffff,39085.0
2342424,3765617,130071,ArmstrongUtilitiesInc,1004087399,50,1000,1000,1,B,OH,390870510011019.0,882a9c7b5bfffff,39087.0
2367028,27345693,490064,Everstream,1414267757,50,1000,1000,1,B,OH,390897583002036.0,882a952a11fffff,39089.0
2412621,4328688,130903,NKTelco,1294399432,50,1000,1000,1,B,OH,390910047003021.0,882a9085a3fffff,39091.0
2409344,25406257,460684,GLW Broadband,1350224558,50,10000,10000,1,B,OH,390930601001019.0,882ab30b19fffff,39093.0
2342492,8538555,370064,ACD.net,1007341274,50,100000,100000,1,B,OH,390950060002020.0,882a94d305fffff,39095.0
2372545,32580888,480067,Omni Fiber,1001231037,50,10000,10000,1,B,OH,390970407001010.0,882a90ac8bfffff,39097.0
2344749,35676576,130403,lumos,1006554068,50,5000,5000,1,B,OH,390998137003000.0,882ab176b3fffff,39099.0
2343613,29626009,130258,Frontier,1294518810,50,7000,7000,1,B,OH,391010104002010.0,882a955a69fffff,39101.0
2343617,32580888,480067,Omni Fiber,1005652160,50,10000,10000,1,B,OH,391034170013010.0,882ab33023fffff,39103.0
2342409,29626009,130258,Frontier,1002016295,50,7000,7000,1,B,OH,391059644003014.0,882a9cd649fffff,39105.0
2349359,4328688,130903,NKTelco,1288111361,50,1000,1000,1,B,OH,391079674004032.0,882a962741fffff,39107.0
2342281,24170359,131081,Metronet Holdings,1003921513,50,10000,10000,1,B,OH,391093653023019.0,882a907043fffff,39109.0
2978387,18539593,170047,GMN Wireless Broadband,1000760663,50,500,500,1,B,OH,391119668001002.0,882a8295cdfffff,39111.0
