,frn,provider_id,brand_name,location_id,technology,max_advertised_download_speed,max_advertised_upload_speed,low_latency,business_residential_code,state_usps,block_geoid,h3_res8_id,FIPS5
262387,5043195,130892,NetCarrier Telecom Inc,1310839261,50,1000000,1000000,1,B,DE,100010413002048.0,882aad5503fffff,10001.0
262380,5043195,130892,NetCarrier Telecom Inc,1062764109,50,100000,100000,1,B,DE,100030140001003.0,882aac3309fffff,10003.0
261980,3768165,130317,Xfinity,1354263560,50,2000,2000,1,B,DE,100050510161002.0,882aad3881fffff,10005.0
3668931,19066034,200014,Cogent Communication,1357082167,50,400000,400000,1,B,DC,110010107001016.0,882aa845adfffff,11001.0
265981,7472319,300150,Stratus Networks Inc,1296993591,50,10000,10000,1,B,IL,170070102001016.0,8827594517fffff,17007.0
267723,7472319,300150,Stratus Networks Inc,1138809949,50,10000,10000,1,B,IL,170119652003036.0,8826664707fffff,17011.0
428135,16555849,130982,ZAYO GROUP LLC,1326509475,50,1200000,1200000,1,B,IL,170317705002045.0,8827593425fffff,17031.0
263510,24170359,131081,Metronet Holdings,1383374273,50,10000,10000,1,B,IL,170370007001008.0,88275961d3fffff,17037.0
434895,16555849,130982,ZAYO GROUP LLC,1335970298,50,150000,150000,1,B,IL,170438446022004.0,88275926adfffff,17043.0
321688,3768165,130317,Xfinity,1088147431,50,1000,1000,1,B,IL,170630001023097.0,882666ba51fffff,17063.0
263817,24170359,131081,Metronet Holdings,1065541348,50,10000,10000,1,B,IL,170730302031018.0,882675d535fffff,17073.0
263524,7472319,300150,Stratus Networks Inc,1016674976,50,10000,10000,1,B,IL,170850205001046.0,88275bc523fffff,17085.0
360763,16555849,130982,ZAYO GROUP LLC,1348519425,50,550000,550000,1,B,IL,170898506003035.0,8827593915fffff,17089.0
290509,25942202,370068,Conxxus,1055609190,50,8000,8000,1,B,IL,170910126004065.0,882660d0a3fffff,17091.0
262722,24170359,131081,Metronet Holdings,1024753525,50,10000,10000,1,B,IL,170938904031050.0,8826668205fffff,17093.0
262925,24170359,131081,Metronet Holdings,1336782366,50,10000,10000,1,B,IL,170978641101006.0,88275914d1fffff,17097.0
262411,7472319,300150,Stratus Networks Inc,1067990035,50,10000,10000,1,B,IL,170999641001049.0,882666732bfffff,17099.0
262425,7472319,300150,Stratus Networks Inc,1090404524,50,10000,10000,1,B,IL,171030005003029.0,88275b30e3fffff,17103.0
269005,7472319,300150,Stratus Networks Inc,1140413493,50,10000,10000,1,B,IL,171059608002031.0,8826662897fffff,17105.0
287051,29626009,130258,Frontier,1355220161,50,7000,7000,1,B,IL,171118704032039.0,8827590311fffff,17111.0
262493,7472319,300150,Stratus Networks Inc,1090553858,50,10000,10000,1,B,IL,171130018002026.0,88266212d3fffff,17113.0
266740,7472319,300150,Stratus Networks Inc,1056682347,50,10000,10000,1,B,IL,171239611001026.0,8826666223fffff,17123.0
262424,7472319,300150,Stratus Networks Inc,1084688069,50,10000,10000,1,B,IL,171419607003059.0,88275bb991fffff,17141.0
262865,24170359,131081,Metronet Holdings,1314455394,50,10000,10000,1,B,IL,171610209001011.0,882675c313fffff,17161.0
263545,7472319,300150,Stratus Networks Inc,1073744284,50,10000,10000,1,B,IL,171770004002043.0,88275bc681fffff,17177.0
262528,7472319,300150,Stratus Networks Inc,1313758342,50,10000,10000,1,B,IL,171790211023009.0,8826625001fffff,17179.0
263539,7472319,300150,Stratus Networks Inc,1054163083,50,10000,10000,1,B,IL,171950008002079.0,88275b2d69fffff,17195.0
262635,24170359,131081,Metronet Holdings,1015511494,50,10000,10000,1,B,IL,171978804231047.0,88266694b7fffff,17197.0
262839,24170359,131081,Metronet Holdings,1302342160,50,10000,10000,1,B,IL,172010038062019.0,8827594115fffff,17201.0
262422,7472319,300150,Stratus Networks Inc,1079063974,50,10000,10000,1,B,IL,172030305023018.0,882662d8a7fffff,17203.0
590438,18590729,360009,Mainstream Fiber Networks LLC,1135397461,50,1000,1000,1,B,IN,180071003003089.0,882660aa35fffff,18007.0
611530,16555849,130982,ZAYO GROUP LLC,1015032233,50,10000,10000,1,B,IN,180290807003003.0,882a934d11fffff,18029.0
590750,4349734,130292,Clear Rate,1309751774,50,10000,10000,1,B,IN,180390023003025.0,88274b0f07fffff,18039.0
602997,16555849,130982,"Zayo Network Services, LLC",1045150451,50,20000,20000,1,B,IN,180530102003017.0,882665acbdfffff,18053.0
614746,3768165,130317,Xfinity,1142749423,50,1000,1000,1,B,IN,180759633001002.0,882a929821fffff,18075.0
590497,24170359,131081,Metronet Holdings,1105599367,50,10000,10000,1,B,IN,180779660002035.0,88266cad89fffff,18077.0
590340,15561350,130586,Central Indiana Communications Inc,1313746818,50,10000,10000,1,B,IN,180950114003050.0,882a925499fffff,18095.0
590634,29626009,130258,Frontier,1133613781,50,7000,7000,1,B,IN,181359517002024.0,882a928557fffff,18135.0
591208,8538555,370064,ACD.net,1303867522,50,100000,100000,1,B,IN,181410017002024.0,88274b44c1fffff,18141.0
622028,16555849,130982,"Zayo Network Services, LLC",1063448147,50,10000,10000,1,B,IN,181479527012036.0,8826684b1bfffff,18147.0
590895,15561350,130586,Central Indiana Communications Inc,1070475587,50,10000,10000,1,B,IN,181770106004033.0,882a92332dfffff,18177.0
590441,24170359,131081,Metronet Holdings,1012910826,50,10000,10000,1,B,IN,181819586005012.0,882665473bfffff,18181.0
631252,16555849,130982,"Zayo Network Services, LLC",1037519385,50,10000,10000,1,B,IN,181830506002005.0,882a965031fffff,18183.0
639055,12486437,130254,altafiber Network Solutions,1300487378,50,3000,1000,1,B,KY,210150704052008.0,882a937a47fffff,21015.0
643362,12486437,130254,altafiber Network Solutions,1300277288,50,2000,1000,1,B,KY,210239502002031.0,882a932ec7fffff,21023.0
639253,25646373,130235,Spectrum,1301277783,50,1000,1000,1,B,KY,210490206002015.0,88266da487fffff,21049.0
638983,3752730,130668,Irvine Community Television Inc,1300166387,50,2000,2000,1,B,KY,210659203022000.0,882a9ac6e7fffff,21065.0
639052,12486437,130254,altafiber Network Solutions,1300035631,50,2000,1000,1,B,KY,210819202021007.0,88266d916bfffff,21081.0
644941,25646373,130235,Spectrum,1300100113,50,1000,500,1,B,KY,210890401002022.0,882a9c4e17fffff,21089.0
672349,3768165,130317,Xfinity,1604378083,50,5000,5000,1,B,KY,210930015002010.0,8826683437fffff,21093.0
638985,12486437,130254,altafiber Network Solutions,1299982266,50,3000,1000,1,B,KY,211170653005060.0,882a930dd7fffff,21117.0
680819,3768165,130317,Xfinity,1301039253,50,10000,10000,1,B,KY,211259703001036.0,882a9a75b5fffff,21125.0
670810,25646373,130235,Spectrum,1300270482,50,1000,1000,1,B,KY,211619605001039.0,882a9e50b1fffff,21161.0
640227,25646373,130235,Spectrum,1300725587,50,1000,1000,1,B,KY,211679604001022.0,88266d2897fffff,21167.0
641070,25646373,130235,Spectrum,1301273092,50,1000,1000,1,B,KY,211850308013007.0,88266d5985fffff,21185.0
639127,12486437,130254,altafiber Network Solutions,1301200693,50,3000,1000,1,B,KY,211919301022017.0,882a9329a9fffff,21191.0
639518,25646373,130235,Spectrum,1300991921,50,1000,1000,1,B,KY,211999305062011.0,882669a4d9fffff,21199.0
642319,25646373,130235,Spectrum,1301103743,50,1000,1000,1,B,KY,212059502021037.0,882a9e3b1dfffff,21205.0
666468,3768165,130317,Xfinity,1606060780,50,1000,1000,1,B,KY,212179204023002.0,8826690363fffff,21217.0
51742,3510195,130370,Lightpath,1346111421,50,10000,10000,1,B,MD,240037515004000.0,882aa85607fffff,24003.0
51314,3510195,130370,Lightpath,1335002617,50,10000,10000,1,B,MD,240054514021003.0,882aa8d6e7fffff,24005.0
97550,3768165,130317,Xfinity,1048772882,50,1000,1000,1,B,MD,240098607011047.0,882aab924dfffff,24009.0
51782,3510195,130370,Lightpath,1109829089,50,10000,10000,1,B,MD,240135010022010.0,882aae04ebfffff,24013.0
51179,3510195,130370,Lightpath,1297536412,50,10000,10000,1,B,MD,240150305031015.0,882aac3ae7fffff,24015.0
66050,3768165,130317,Xfinity,1051566361,50,1000,1000,1,B,MD,240178509011009.0,882aa860bbfffff,24017.0
52817,3768165,130317,Xfinity,1088668531,50,1000,1000,1,B,MD,240199702001043.0,882aa9d303fffff,24019.0
51148,3510195,130370,Lightpath,1068045241,50,10000,10000,1,B,MD,240217523023007.0,882aaa92e1fffff,24021.0
55152,3768165,130317,Xfinity,1065474181,50,500,500,1,B,MD,240230002001014.0,882a854553fffff,24023.0
51175,3510195,130370,Lightpath,1130455633,50,10000,10000,1,B,MD,240253024002012.0,882aac6407fffff,24025.0
51281,3510195,130370,Lightpath,1311116451,50,10000,10000,1,B,MD,240276012032015.0,882aa8cc13fffff,24027.0
196087,30110761,450109,RiverNet,1094659021,50,1000,1000,1,B,MD,240299501001020.0,882aac2c39fffff,24029.0
214239,19066034,200014,Cogent Communication,1338840694,50,100000,100000,1,B,MD,240317014252000.0,882aa842cbfffff,24031.0
109298,16555849,130982,ZAYO GROUP LLC,1337588851,50,550000,550000,1,B,MD,240338074083025.0,882aa855c9fffff,24033.0
61380,15336449,280001,Breezeline,1027270233,50,1000,1000,1,B,MD,240358108004009.0,882aa81613fffff,24035.0
55505,30533236,440197,Simple Fiber,1527592857,50,1000,1000,1,B,MD,240399301012037.0,882aa910e7fffff,24039.0
61367,15336449,280001,Breezeline,1023270211,50,1000,1000,1,B,MD,240419607004005.0,882aa8a887fffff,24041.0
51493,2154367,131167,Antietam Cable,1546457926,50,10000,10000,1,B,MD,240430001001026.0,882aae7117fffff,24043.0
97554,3768165,130317,Xfinity,1115375671,50,10000,10000,1,B,MD,240450107033049.0,882aa98a2dfffff,24045.0
196973,3768165,130317,Xfinity,1293683378,50,2000,2000,1,B,MD,240479501001017.0,882a1a593bfffff,24047.0
94071,16555849,130982,ZAYO GROUP LLC,1035304375,50,150000,150000,1,B,MD,245100401004020.0,882aa8c2b3fffff,24510.0
744675,8538555,370064,ACD.net,1310373468,50,100000,100000,1,B,MI,260210025002035.0,88274a34b7fffff,26021.0
744690,8538555,370064,ACD.net,1087205161,50,100000,100000,1,B,MI,260270019012027.0,88274bcc21fffff,26027.0
744681,8538555,370064,ACD.net,1068801164,50,100000,100000,1,B,MI,261490411023008.0,88274b8d57fffff,26149.0
2314010,5043195,130892,NetCarrier Telecom Inc,1606148686,50,1000000,1000000,1,B,NJ,340010024002003.0,882a132c95fffff,34001.0
1660369,5043195,130892,NetCarrier Telecom Inc,1081905536,50,5000000,5000000,1,B,NJ,340030513006002.0,882a1046d7fffff,34003.0
1969841,5043195,130892,NetCarrier Telecom Inc,1343947538,50,1000000,1000000,1,B,NJ,340057040091010.0,882a1344edfffff,34005.0
