County Name,County FIPS Code,State Name,Developed Land %
Greensville,51081,Virginia,0.0568
Somerset,34035,New Jersey,0.4753
Middlesex,34023,New Jersey,0.6679
Kankakee,17091,Illinois,0.1262
Tioga,42117,Pennsylvania,0.0658
Van Wert,39161,Ohio,0.1008
Harford,24025,Maryland,0.2563
Berrien,26021,Michigan,0.2274
Caroline,51033,Virginia,0.0738
Fauquier,51061,Virginia,0.0859
Lackawanna,42069,Pennsylvania,0.2225
LaSalle,17099,Illinois,0.1054
Armstrong,42005,Pennsylvania,0.1105
Alleghany,51005,Virginia,0.0532
Marion,39101,Ohio,0.1274
Beaver,42007,Pennsylvania,0.2371
Lee,17103,Illinois,0.0764
Halifax,51083,Virginia,0.0653
Guernsey,39059,Ohio,0.103
Harrison,54033,West Virginia,0.128
Scioto,39145,Ohio,0.1057
Worcester,24047,Maryland,0.0881
Mercer,34021,New Jersey,0.5106
Atlantic,34001,New Jersey,0.1908
Northampton,51131,Virginia,0.0527
Monongalia,54061,West Virginia,0.1478
Franklin,39049,Ohio,0.6876
Montour,42093,Pennsylvania,0.1529
Prince George,51149,Virginia,0.0294
Marshall,54051,West Virginia,0.0966
Cambria,42021,Pennsylvania,0.1384
Wyoming,42131,Pennsylvania,0.0826
Pickaway,39129,Ohio,0.109
Warren,51187,Virginia,0.1482
Montgomery,42091,Pennsylvania,0.6368
Medina,39103,Ohio,0.2729
Sussex,34037,New Jersey,0.1564
Franklin,42055,Pennsylvania,0.1557
Passaic,34031,New Jersey,0.4079
Monroe,39111,Ohio,0.0773
Dearborn,18029,Indiana,0.1377
Jefferson,18077,Indiana,0.1012
New Castle,10003,Delaware,0.455
Cass,26027,Michigan,0.1138
Cecil,24015,Maryland,0.1819
Calvert,24009,Maryland,0.2112
Washington,39167,Ohio,0.1059
Mason,21161,Kentucky,0.0899
Bucks,42017,Pennsylvania,0.4065
Mason,54053,West Virginia,0.0745
Butler,39017,Ohio,0.3762
Brunswick,51025,Virginia,0.0565
Ogle,17141,Illinois,0.0867
Burlington,34005,New Jersey,0.2309
Rockingham,51165,Virginia,0.0974
Auglaize,39011,Ohio,0.128
Schuylkill,42107,Pennsylvania,0.1266
District of Columbia,11001,District of Columbia,0.8274
Vinton,39163,Ohio,0.0593
Rock Island,17161,Illinois,0.1892
Pleasants,54073,West Virginia,0.0741
Oldham,21185,Kentucky,0.2191
Lawrence,39087,Ohio,0.1119
Snyder,42109,Pennsylvania,0.1264
Union,34039,New Jersey,0.3674
FAYETTE,42051,Pennsylvania,0.8977
Madison,18095,Indiana,0.1971
Lawrence,21127,Kentucky,0.0693
Fluvanna,51065,Virginia,0.0808
Defiance,39039,Ohio,0.1149
Cumberland,34011,New Jersey,0.175
Jefferson,39081,Ohio,0.1349
Wayne,18177,Indiana,0.1379
Chesterfield,51041,Virginia,0.3912
Delaware,42045,Pennsylvania,0.7078
Montgomery,39113,Ohio,0.4885
Buckingham,51029,Virginia,0.0489
Clark,21049,Kentucky,0.1061
Miami,39109,Ohio,0.1777
Lycoming,42081,Pennsylvania,0.0816
Northumberland,42097,Pennsylvania,0.1405
Lawrence,42073,Pennsylvania,0.1809
Chesapeake City,51550,Virginia,0.2599
Berks,42011,Pennsylvania,0.2272
Fairfax,51059,Virginia,0.9686
Carbon,42025,Pennsylvania,0.1253
Adams,42001,Pennsylvania,0.1585
Columbiana,39029,Ohio,0.1578
Carroll,39019,Ohio,0.0988
Gloucester,34015,New Jersey,0.393
Wayne,54099,West Virginia,0.0808
Wise,51195,Virginia,0.0889
Charles,24017,Maryland,0.1645
Henry,39069,Ohio,0.105
Union,42119,Pennsylvania,0.1117
DuPage,17043,Illinois,0.8445
Richland,39139,Ohio,0.1854
Wood,39173,Ohio,0.1831
Greene,42059,Pennsylvania,0.1004
Bergen,34003,New Jersey,0.7668
